INSTITUTE_NAME,Latitude,Longitude,Unnamed: 3
AMTALI A.K. ADRSHA HIGH SCHOOL,22.1419105,90.2326106,✅ Valid
BARGUNA MAITHA HIGH SCHOOL,22.1504954,90.1391868,✅ Valid
UDAYAN  JUNIOR  HIGH SCHOOL,22.701637,90.370689,✅ Valid
CHHOTO GOURICHANNA HIGH SCHOOL,22.2135501,90.1126002,✅ Valid
CHALITALI HIGH SCHOOL,22.1572455,90.1146166,✅ Valid
GARJONBUNIA HIGH SCHOOL  AND COLLEGE,22.0359885,90.0245831,✅ Valid
GAZI MAHMUD JUNIOR HIGH SCHOOL,23.3887499,91.0771142,✅ Valid
BALIATALI C.T. JUNIOR HIGH SCHOOL,22.0836727,90.0713173,✅ Valid
RAYBHOGE KADAMTALA SECONDARY SCHOOL,22.1715658,90.1914186,✅ Valid
RAYER TABAK J S SECONDARY SCHOOL,22.0980779,90.1205557,✅ Valid
LEMUA P.K.  HIGH SCHOOL,22.1329397,90.0763803,✅ Valid
NAPITKHALI PONCHOGRAM HIGH SCHOOL,22.0439873,90.0520834,✅ Valid
G N S ADARSHA JR GIRLS  HIGH SCHOOL,22.1584666,90.1180112,✅ Valid
PURBO ROYBHOGE  HIGH SCHOOL,22.1683495,90.1496592,✅ Valid
PURAKATA GIRLS HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
CHOTO LABON GOLA HAZAR BIGHA HIGH SCHOOL,22.1421167,90.1661213,✅ Valid
MANASATALI LAKURTALA  A B R HIGH SCHOOL,22.1960939,90.1191793,✅ Valid
SONAKHALI GIRLS  HIGH SCHOOL,22.1600065,90.1469608,✅ Valid
POLICE LINE HIGH SCHOOL,22.1522291,90.1331475,✅ Valid
PURBA HAZAR BIGHA BATTALA ALIM MADRASHA,22.02591,92.1112751,✅ Valid
UTTER ANGAR PARA  ISLAMIA DAKHIL MADRASHA,23.6889093,90.5295576,✅ Valid
PURBA GUDIGATA SALEHIA KAMIL MADRASHA,22.199797,90.1606474,✅ Valid
NOLI CHAROK GASIA EATIM MANJIL ALIM MADRASHA,22.1595423,90.1157453,✅ Valid
KOTBARIA KADARIA DAKHIL MADRASHA,22.1919776,90.1796457,✅ Valid
JANGALIA ISLAMIA DAKHIL MADRASAH,22.1962022,90.2197561,✅ Valid
KHAKBUNIA FAZIL MADRASAH,22.0979194,90.0610548,✅ Valid
KEORAH BUNIA YATIMKHANA GIRLS ALI MADRASHA,23.7313068,90.8486841,✅ Valid
BARGUNA DARUL ULUM NESARIA KAMIL MODEL MADRASHA,22.1605051,90.1200636,✅ Valid
NURE HERA DAKHIL MADRASHA,22.1537058,90.1106664,✅ Valid
DHALUA HOSSAINIA DAKHIL MADRASHA,22.149881,90.0976748,✅ Valid
KROK  KERAMATIA ISLAMIA DAKHIL MADRASHA,22.1378193,90.1141599,✅ Valid
SHAHEBER HAWLA CHADBARU BALIKA DAKHIL MADRASAH,22.8532024,89.3176899,✅ Valid
CHARAK GASIA FAJIL MADRASHA,22.0836236,90.153882,✅ Valid
AZGAR KATI A.B.F.DAKHIL MADRASHA,22.0723137,90.042266,✅ Valid
CHARPARA MOHAMMADIA DAKHIL MADRASHA,23.6900858,90.4383204,✅ Valid
BADARKHALI ISLAMIA ALIM MADRASAH,23.8176674,90.3812826,✅ Valid
SONATALA ISLAMIA DAKHIL MADRASAH,22.0066698,90.0025519,✅ Valid
PURBA  KEORA BUNIA DAKHIL MADRASHA,23.7654616,90.5070955,✅ Valid
KEROABUNIA ISHAKIA ALIM  MADRASHA,25.1215408,88.962028,✅ Valid
UTTAR KHAJURA ASAHAKIA SENIOOR MADRASHA,22.2183022,90.0531234,✅ Valid
AYLA PATAKATA DARUL SALEHIA DAKHIL MADRASHA,22.2238625,90.2011882,✅ Valid
KALIR TABAK AMIRIA DAKHIL MADRASHA,22.1919776,90.1796457,✅ Valid
GAZI MAHMUD DARUSSALAM DAKHIN MADRASHA,23.4340643,90.4681683,✅ Valid
CHOTTO GOURICHANNA FAKIR BARI DAKHIL MADRASHA,22.232587,90.1148553,✅ Valid
DIBA MAITHA SALEHIA DAKHIL MADRASHA,23.6889093,90.5295576,✅ Valid
SHAHEBER HOWLA RAFIZA  DAKHIL MADRASHA,22.2308098,90.3180261,✅ Valid
FULJUHRI PATAKATA NURIA DAKHIL MADRASHA,23.7000781,90.4063111,✅ Valid
PASCHIM  HEULIBUNIA DAKHIL MADRASHA,22.4182961,90.2671244,✅ Valid
BAISHTABAK RODPARA DAKHIL MADRASHA,23.7654616,90.5070955,✅ Valid
KATHAL TALI D.K.S.U DAKHIL MADARASHA,22.1449432,89.9343658,✅ Valid
DAKHIN GARZAN BUNIA NERARIA DAKHIL MADRASHA,22.3931146,89.9620628,✅ Valid
NESARAIBAD FAZLUL  HAQUE DAKHIL MADRASHA,22.0960905,90.1186384,✅ Valid
ABDUL GANI HAOLADER DAKHIL MADRASHA,22.3134752,90.2878666,✅ Valid
RAKKHA CHANDI ISLIMIN DAKHIL MADRASHA,23.6889093,90.5295576,✅ Valid
D. LATABARI ISLIMIA DAKHIL MADRASHA,23.8653339,90.566473,✅ Valid
M. BALIATALI D.N. COLLEGE,22.053057,90.0660629,✅ Valid
BARGUNA IDEAL COLLEGE,22.1474187,90.1247889,✅ Valid
BARGUNA GOVT. COLLEGE,22.1567679,90.113531,✅ Valid
BARGUNA GOVT. MOHILA COLLEGE,22.1599442,90.12742,✅ Valid
AYLA  COLLEGE,22.2210031,90.1977162,✅ Valid
KEORABUNIA HIGH SCHOOL,22.1683495,90.1496592,✅ Valid
ITBARIA KADAMTALA  HIGH SCHOOL,22.1715658,90.1914186,✅ Valid
B. L. B. JUNIOR HIGH SCHOOL,22.4150761,90.1903841,✅ Valid
KADBHANU MEMORIAL GIRLS HIGH SCHOOL AND COLLEGE,22.2488597,90.1585661,✅ Valid
SABUJ KANAN SECONDARY SCHOOL,22.4024747,90.1607966,✅ Valid
BETAGI GOVT. HIGH SCHOOL,22.415908,90.1662704,✅ Valid
FULTALA BIBICHINI BIKASH HIGH SCHOOL,22.4581551,90.1934148,✅ Valid
KAUNIA EMDADIA SECODARY SCHOOL,22.3178606,90.1377204,✅ Valid
KUMRAKHALI SHASHI BHUSHAN SECONDARY SCHOOL,22.8634457,89.5167539,✅ Valid
PUTIAKHALI ADARSHA SECONDARY SCHOOL,22.4452962,90.1863155,✅ Valid
CHANDKHALI ISHAQUE HIGH SCHOOL AND COLLEGE,22.2475475,90.1585319,✅ Valid
BIBICHINI NIAMITO UNITED HIGH SCHOOL AND COLLEGE,22.7221285,90.3204381,✅ Valid
MOKAMIA HIGH SCHOOL,22.3750884,90.1374612,✅ Valid
TALGACHIA DESANTERKATI SECONDARY SCHOOL,22.4141607,90.1658856,✅ Valid
HOSNABAD ADARSHA SECONDARY SCHOOL,22.360208,90.1781459,✅ Valid
BALAI BUNIA HIGH SCHOOL,22.2963873,90.1175718,✅ Valid
CHHOPKHALI HIGH SCHOOL,23.8223906,90.3465982,✅ Valid
JAMIR UDDIN SECONDARY SCHOOL,22.2867238,90.1172447,✅ Valid
WEST KARUNA HIGH SCHOOL,22.3417543,90.1301262,✅ Valid
BHORA KALIKABARI HATEM ALI HIGH SCHOOL,22.290417,89.957598,✅ Valid
BHORA SOUTH KALIKABARI ARSHEDIA HIGH SCHOOL,22.1584666,90.1180112,✅ Valid
KAUNIA SECONDARY GIRLS SCHOOL,22.1576778,90.1207363,✅ Valid
KAZIRHAT HIGH SCHOOL,22.3348065,90.1375832,✅ Valid
KAIALGHATA HIGH SCHOOL,22.1650212,90.2512777,✅ Valid
DESHANTARKATI SECONDARY SCHOOL,22.1546912,90.1056242,✅ Valid
FULTALA NURUNNESSA JUNIOR GIRLS SCHOOL,22.1576778,90.1207363,✅ Valid
RANIPUR JUNIOR HIGH SCHOOL,22.4351019,90.2124277,✅ Valid
